col1,Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,_RAJ2000,_DEJ2000,SDSS,RAJ2000,DEJ2000,Plate,MJD,Fiber,z,r_z,DR12,Separation_1a,RAdeg,DEdeg,Speak,e_Speak,Sint,e_Sint,Separation
2210,SDSSJ110643.99+494152.0,166.683321,49.697778,110643.99+494152.0,166.683319091797,49.6977767944336,1.66970002651215,2.0,1.0,1,-27.4334200035077,0.0,0.0,0.0,-26.7252451603441,-1.0,46.228601923449,45.9331124114541,0.0062112206183663,166.68332111,49.69777889,110643.99+494152.0,166.683321,49.697779,6700,56384,58,1.667,VI,DR12,0.0035999999913344186,,,,,,,
2211,SDSSJ112448.19+483523.3,171.20081,48.589819,112448.19+483523.3,171.200805664063,48.5898208618164,1.92219996452332,3.0,1.0,1,-27.6846266873245,0.0,0.0,0.0,-26.5866876784419,-1.0,46.427302764397105,46.591536401955,0.0123095243710536,171.20080611,48.58981611,112448.19+483523.3,171.200806,48.589816,6685,56412,390,1.933,VI,DR12,0.01440006986805149,,,,,,,
2213,SDSSJ111854.12+492207.3,169.725534,49.368702,111854.12+492207.3,169.725540161133,49.3687019348145,1.832200050354,3.0,1.0,1,-26.789765750221,0.0,0.0,0.0,-26.9449377020746,-1.0,46.0251913356258,46.3483613889977,0.0144453263405123,169.72554,49.36870194,111854.12+492207.3,169.72554,49.368702,965,52438,485,1.8322,DR7Q,DR12,0.014065679685057767,,,,,,,
2214,SDSSJ112018.54+493214.3,170.077269,49.537314,112018.54+493214.3,170.077270507813,49.5373153686523,1.91789996623993,1048578.0,1.0,1,-27.421187853021,0.0,0.0,0.0,-26.8097485488321,-1.0,46.1699595710232,46.4417573444561,0.0060568536850297,170.07727111,49.537315,112018.54+493214.3,170.077271,49.537315,965,52438,509,1.9179,DR7Q,DR12,0.005898463911870641,,,,,,,
2215,SDSSJ112934.85+481147.3,172.395245,48.196486,112934.85+481147.3,172.395248413086,48.1964874267578,1.68099999427795,1048579.0,1.0,1,-26.5477044978402,0.0,0.0,0.0,-27.0109496389467,-1.0,45.8702067927178,46.1375702203598,0.0096676363468146,172.39524806,48.19648694,112934.85+481147.3,172.395248,48.196487,966,52642,121,1.681,DR7Q,DR12,0.008048990017956812,,,,,,,
3510,SDSSJ130658.87+471645.2,196.745315,47.279248,130658.87+471645.2,196.745315551758,47.2792472839356,1.81169998645782,3.0,1.0,1,-26.7915057418785,0.0,0.0,0.0,-27.0203454108614,-1.0,45.9939951021641,45.9384936695103,0.0029088107142779,196.74531611,47.27924694,130658.87+471645.2,196.745316,47.279247,1459,53117,464,1.8117,DR7Q,DR12,0.004350286225132985,196.7452,47.2792,1.1,0.1,1.2,0.1,0.3407305187070507
2216,SDSSJ112834.47+484823.9,172.143654,48.806653,112834.47+484823.9,172.143661499023,48.8066520690918,1.88489997386932,1048579.0,1.0,1,-26.9663424449259,0.0,0.0,0.0,-26.9209591758326,-1.0,46.080436285196,46.2420723570353,0.0180930183718421,172.14362694,48.80665389,112834.47+484823.9,172.143627,48.806654,6685,56412,280,1.889,VI,DR12,0.06411726683677309,,,,,,,
3917,SDSSJ132222.84+512016.9,200.595172,51.338034,132222.84+512016.9,200.595169067383,51.338035583496094,1.77219998836517,2.0,1.0,1,-26.8989651528635,0.0,0.0,0.0,-26.7973661248933,-1.0,46.2001292734542,46.0857280961079,0.0087176274965977,200.59516889,51.33803611,132222.84+512016.9,200.595169,51.338036,1668,53433,348,1.7722,DR7Q,DR12,0.009867235276248077,200.5953,51.3381,1.1,0.1,1.4,0.1,0.38543192309973845
2217,SDSSJ114444.61+490517.3,176.185877,49.088146,114444.61+490517.3,176.185882568359,49.0881462097168,1.79499995708466,1048579.0,1.0,1,-27.1260586935821,0.0,0.0,0.0,-26.8386621570134,-1.0,46.1073092688523,46.3324815196439,0.0131498212183129,176.18588306,49.08814611,114444.61+490517.3,176.185883,49.088146,967,52636,116,1.795,DR7Q,DR12,0.014145779007379938,,,,,,,
2218,SDSSJ113537.67+491323.2,173.906981,49.223122,113537.67+491323.2,173.906982421875,49.2231216430664,1.98199999332428,1048578.0,1.0,1,-26.7203584049658,0.0,0.0,0.0,-27.185304374825,-1.0,45.8092968198764,46.0642430805384,0.0035815724496326,173.90697694,49.22312694,113537.67+491323.2,173.906977,49.223127,6685,56412,973,1.997,VI,DR12,0.02030889765071364,,,,,,,
