name,redshift_1,RAx,DECx,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLG
SDSSJ073536.92+401954.4,2.033613,113.90383333333337,40.33177777777779,,,
SDSSJ073633.63+405854.9,2.332179,114.140125,40.98191666666667,2,1,1
SDSSJ073913.65+461858.5,1.586227,114.80687500000005,46.31625,2,1,1
SDSSJ073657.17+465818.3,2.30448,114.23820833333332,46.971749999999986,,,
SDSSJ073437.81+465828.7,1.700937,113.65754166666669,46.97463888888888,,,
SDSSJ073504.02+473033.7,1.71809,113.76675000000004,47.509361111111104,,,
SDSSJ073641.14+480734.0,2.269077,114.1714166666667,48.126111111111086,,,
SDSSJ073719.98+474246.5,2.229407,114.33324999999999,47.712916666666665,,,
SDSSJ073805.71+473411.3,2.386561,114.52379166666667,47.56980555555555,,,
SDSSJ073900.90+485159.0,1.619517,114.75375000000001,48.866388888888885,1048578,1,1
SDSSJ073638.25+404705.0,1.542204,114.15937500000001,40.78472222222222,2,1,1
SDSSJ073504.76+405926.1,2.384507,113.76983333333335,40.99058333333333,,,
SDSSJ073716.68+422834.8,2.04223,114.31950000000002,42.47633333333333,,,
SDSSJ073936.76+424447.4,2.321607,114.90316666666668,42.7465,,,
SDSSJ074147.75+430534.1,2.342268,115.44895833333332,43.09280555555554,1048579,1,1
SDSSJ074611.53+364457.8,2.213009,116.54804166666669,36.74938888888888,1048580,0,1
SDSSJ074517.64+370602.4,2.028944,116.32349999999998,37.100666666666655,,,
SDSSJ074328.91+360030.6,2.10999,115.87045833333335,36.0085,,,
SDSSJ073853.34+374551.1,2.082681,114.72225000000002,37.76419444444444,,,
SDSSJ075147.21+485747.3,2.175455,117.94670833333335,48.96313888888888,2,1,1
SDSSJ074724.99+482236.0,2.383298,116.85412500000001,48.37666666666666,1048579,1,1
SDSSJ074712.98+483827.6,2.136768,116.80408333333332,48.641,,,
SDSSJ074522.60+495730.5,1.562707,116.3441666666667,49.95847222222221,,,
SDSSJ075008.34+501506.7,2.089868,117.53475,50.25186111111111,,,
SDSSJ075054.64+425219.2,1.906571,117.72766666666669,42.872,4,0,1
SDSSJ074259.84+430123.3,1.982852,115.74933333333334,43.02313888888889,,,
SDSSJ074316.53+430600.0,2.229183,115.81887499999998,43.100000000000016,,,
SDSSJ074155.65+420817.7,2.22638,115.48187500000002,42.13825,2097162,1,1
SDSSJ074126.07+421530.7,1.857907,115.35862500000005,42.258527777777786,1048578,1,1
SDSSJ074052.52+423935.5,1.612316,115.21883333333332,42.65986111111112,2,1,1
SDSSJ074519.65+441625.9,1.945955,116.331875,44.273861111111096,,,
SDSSJ074454.61+441903.4,2.097761,116.22754166666672,44.3176111111111,1048578,1,1
SDSSJ074850.39+442439.0,-1.0,117.20995833333335,44.41083333333333,1,1,1
SDSSJ074800.49+380333.6,2.337327,117.00204166666671,38.05933333333335,1048581,0,1
SDSSJ074654.91+375457.4,2.227717,116.72879166666665,37.915944444444435,1048580,0,1
SDSSJ074058.63+385311.8,2.186291,115.24429166666671,38.886611111111094,,,
SDSSJ075101.02+391300.0,2.34384,117.75425000000001,39.21666666666666,1048580,0,1
SDSSJ075033.90+442232.0,1.996709,117.64124999999996,44.37555555555556,,,
SDSSJ074952.02+443620.9,2.304039,117.46674999999999,44.60580555555554,,,
SDSSJ074530.61+445812.4,1.744843,116.37754166666666,44.970111111111095,,,
SDSSJ074219.37+440736.2,2.2223,115.58070833333336,44.12672222222222,1048579,1,1
SDSSJ073823.97+445834.4,2.2909,114.59987499999998,44.97622222222222,,,
SDSSJ074833.68+452135.6,1.754213,117.14033333333333,45.35988888888888,2,1,1
SDSSJ075119.26+455756.8,2.07683,117.83025000000002,45.965777777777774,2,1,1
SDSSJ075057.94+403019.6,2.212843,117.74141666666665,40.505444444444436,,,
SDSSJ075545.60+405643.5,2.339788,118.94000000000004,40.94541666666665,4,0,1
SDSSJ074141.00+454414.3,2.260581,115.42083333333333,45.73730555555555,2,1,1
SDSSJ074910.94+474944.3,1.919773,117.29558333333334,47.82897222222222,2,1,1
SDSSJ074914.78+472904.1,2.042652,117.31158333333333,47.484472222222216,1048578,1,1
SDSSJ075447.99+470740.8,1.895592,118.69995833333336,47.127999999999986,2,1,1
SDSSJ075257.96+413615.2,2.231632,118.24150000000006,41.60422222222222,,,
SDSSJ074700.84+415213.2,2.252222,116.75350000000005,41.870333333333335,1048581,0,1
SDSSJ074302.16+422614.4,2.218873,115.75899999999999,42.43733333333332,,,
SDSSJ074321.11+421721.8,1.719658,115.83795833333336,42.2893888888889,,,
SDSSJ074359.12+421547.2,2.31351,115.99633333333334,42.26311111111111,,,
SDSSJ074624.22+421937.6,2.223932,116.60091666666668,42.3271111111111,,,
SDSSJ074759.03+424436.1,2.38121,116.99595833333332,42.743361111111106,,,
