RA_1,DEC_1,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD_1,MJDRMS,MJDSTART,MJDSTOP,_RAJ2000,_DEJ2000,SDSS,RAJ2000,DEJ2000,Plate,MJD_2,Fiber,z,r_z,DR12,col1,name,RA_2,Dec_2,Separation_2,CIV_blue,CIV_EW,good,z_paul,SDSS_NAME,Separation_Amy,Separation
212.05418204894022,56.22568353053267,0.014053002,282.3,293.10956,0.14322934,1.22,0.87,84.7,5.54,5.47,84.7,14090+55553G,1,0.4139437,18.606926,s,0,99.0,99.0,1997.3839,2450589.62090536,0.3043986497170347,2450588.727245371,2450589.7284606486,212.05397,56.22569694,140812.95+561332.5,212.05397,56.225697,1159,52669,44,2.0202,DR7Q,DR12,2521,140812.95+561332.5,212.05397000000002,56.225694999999995,0.007200000005568831,1609.0418487178454,13.840796520594683,true,2.024,140812.95+561332.5,0.007199999982668837,0.4263822988120226
201.71140417370833,56.172356828587795,0.014053002,1.81,1.5663462,0.15582229,1.06,0.0,28.9,5.5,4.59,28.9,13270+55553G,1,0.4151715,18.042227,s,0,99.0,99.0,1997.3832,2450589.3748051133,0.4662343236664298,2450588.6980902785,2450589.6993055562,201.71128806,56.17225611,132650.70+561020.1,201.711288,56.172256,1321,52764,358,1.8627,DR7Q,DR12,2982,132650.71+561020.1,201.711296,56.17225500000001,0.016432099816233767,525.9502464702311,28.56038043902686,true,1.86913,132650.71+561020.1,0.016432099821250778,0.43427003293091176
198.74340011139265,56.06167361308774,0.014053002,271.1,277.78616,0.25190148,1.08,0.53,9.5,5.51,5.43,9.5,13150+55553N,1,0.4862589,18.505697,s,0,99.0,99.0,1997.382,2450588.9105148,0.4141320978028334,2450588.6895717597,2450589.6909606485,198.74334694,56.06180611,131458.40+560342.5,198.743347,56.061806,1319,52791,95,1.7493,DR7Q,DR12,2973,131458.40+560342.5,198.74335200000002,56.061806000000004,0.010049369086587073,323.7432882039698,66.44417517952573,true,1.7474,131458.40+560342.5,0.010049369035446967,0.4884012493905505
193.606332874356,55.82199886001741,0.014053002,1.55,1.2042308,0.13437046,0.71,0.0,165.1,5.45,4.17,165.1,12540+55553G,1,0.21714109,18.372076,s,0,99.0,99.0,1997.3805,2450588.3970749094,0.6904201249164544,2450586.670416667,2450588.677430556,193.60634611,55.82193889,125425.52+554918.9,193.606346,55.821939,6831,56426,372,1.817,VI,DR12,2414,125425.52+554918.8,193.60636,55.821915000000004,0.09092078230888413,392.3516471432704,45.808092374944145,true,1.8191,125425.52+554918.9,5.470395281333114E-4,0.3030608142747828
171.08567923636258,55.18203404044931,0.014053002,3.65,3.4138234,0.13315932,1.09,0.0,48.7,5.51,4.96,48.7,11240+55098G,2,0.42687982,18.986069,s,0,99.0,99.0,1997.2389,2450536.7177063474,3.6982144562971384E-4,2450536.7176388893,2450536.7217592597,171.08587611,55.18200694,112420.61+551055.2,171.085876,55.182007,1013,52707,523,1.9683,DR7Q,DR12,2389,112420.61+551055.2,171.08588400000002,55.182005000000004,0.017951166570129524,-205.576864634897,43.377950513971136,true,1.97138,112420.61+551055.2,0.01795116653140469,0.4177405002192188
212.96653139751385,55.163462756096045,0.014053002,6.54,7.548553,0.1357974,2.29,1.93,89.8,5.86,5.74,89.8,14120+55098N,2,0.29507405,18.512005,s,0,99.0,99.0,1997.2393,2450536.845532408,0.0,2450536.845532408,2450536.847557871,212.96657111,55.16354194,141151.97+550948.7,212.966571,55.163542,6797,56426,734,1.897,VI,DR12,2992,141151.97+550948.7,212.96656800000002,55.163541,0.007142888708142511,479.3614203778681,39.470989810416924,true,1.89292,141151.97+550948.7,0.0016101037711363732,0.29321510264072204
216.87677371621112,54.933790815065194,0.014053002,32.85,33.323605,0.15343225,0.87,0.28,21.6,5.47,5.41,21.6,14270+55098G,1,0.04458484,17.421106,s,1,0.011731405,15.113,1997.3241,2450567.8118018955,22.8913553395064,2450536.8559606485,2450584.7420138894,216.87680111,54.93380694,142730.43+545601.7,216.876801,54.933807,1161,52703,214,1.7517,DR7Q,DR12,2534,142730.43+545601.7,216.87679300000002,54.933806000000004,0.01693334695102132,2064.160524114285,14.944904907784363,true,1.75715,142730.43+545601.7,0.016933347058736194,0.0785668653001658
203.19298148771082,54.43569243965285,0.038983844,1.44,1.1011764,0.13592869,0.0,0.0,87.6,4.72,4.7,87.6,13330+54251G,1,0.54896456,17.459827,s,1,0.7124163,15.261,1997.3622,2450581.709652778,0.0,2450581.709652778,2450581.7116782414,203.19276389,54.43576806,133246.26+542608.7,203.192764,54.435768,1041,52724,592,2.0336,DR7Q,DR12,2430,133246.26+542608.7,203.19276499999998,54.43577,0.0074982704775327196,329.7935627203297,30.729166039708762,true,2.03011,133246.26+542608.7,0.007498270507286237,0.5341654203872559
161.8276993258688,54.32164194089197,0.014053002,13.68,12.956783,0.14878571,0.0,0.0,164.5,5.37,5.14,164.5,10480+54251G,1,0.06325777,17.979668,s,0,99.0,99.0,1997.3613,2450581.404686913,0.3820178987261221,2450580.5851157415,2450581.5849421304,161.82769806,54.32162889,104718.64+541917.8,161.827698,54.321629,906,52368,55,1.8288,DR7Q,DR12,1951,104718.64+541917.8,161.82769199999998,54.321630000000006,0.013102147300147724,832.3073543078963,49.698712653895825,true,1.83249,104718.64+541917.8,0.013102147242487566,0.043077257943846564
203.79309556856649,54.12587847399565,0.014053002,35.2,37.022945,0.14105788,1.64,0.6,169.0,5.64,5.43,169.0,13360+54251G,1,0.17182927,18.065378,s,0,99.0,99.0,1997.3597,2450580.8260909957,0.3159251595057977,2450580.7132407413,2450581.7137731486,203.79306,54.12591194,133510.33+540733.2,203.79306,54.125912,1042,52725,383,1.7251,DR7Q,DR12,2433,133510.33+540733.2,203.793058,54.125913,0.005546351065054211,2350.803825488784,25.34746151576285,true,1.731538,133510.33+540733.2,0.0012157359441042983,0.1451872590365881
