 11 42 25.71,-01 34 16.0,-0.00003
 11 42 09.88,-01 56 25.2, 0.00086
 11 55 03.29,-03 01 27.7, 0.00011
 11 54 17.99,-02 46 37.9,-0.00075
 11 51 04.26,-02 04 50.1, 0.00021
 11 57 27.05,-02 52 36.5,-0.00019
 11 58 51.19,-01 54 42.6, 0.00147
 11 59 16.40,-01 45 52.5,-0.00051
 12 03 31.10,-01 41 11.6, 0.00781
 12 03 35.35,-01 54 13.3,-0.00046
 12 05 08.03,-01 34 24.6,-0.00010
 12 12 22.60,-02 40 45.9,-0.00023
 12 12 25.57,-01 57 15.9, 0.00003
 12 17 17.82,-02 47 53.8,-0.00066
 12 14 15.61,-02 54 10.4, 0.00084
 12 14 53.21,-02 29 11.0, 0.03297
 12 28 36.92,-03 04 39.3, 0.13035
 12 22 32.17,-02 16 48.9, 0.00044
 12 36 02.34,-03 31 30.0,-0.00069
 12 35 58.55,-02 35 03.3,-0.00004
 12 36 43.12,-02 04 21.0,-0.00080
 12 40 12.10,-02 56 25.8, 0.00025
 12 46 07.10,-02 09 51.3, 0.00003
 12 52 09.26,-03 23 49.9,-0.00037
 12 49 49.09,-01 34 10.2,-0.00036
 12 53 34.77,-01 58 37.8,-0.00024
 13 00 59.52,-03 25 33.2, 0.00047
 12 56 38.39,-01 16 21.6,-0.00016
 12 59 23.51,-01 32 35.0,-0.00025
 13 01 53.78,-01 14 10.9, 0.00069
 13 08 42.18,-02 58 20.0, 0.00038
 13 06 55.35,-03 09 40.1,-0.00000
 13 05 54.09,-02 48 15.9,-0.00001
 13 06 31.18,-03 09 53.9,-0.00056
 13 05 54.10,-02 46 57.4,-0.00012
 13 01 38.55,-02 15 47.6,-0.00030
 13 22 35.40,-03 07 54.4,-0.00070
 13 21 39.32,-03 26 43.8,-0.00113
 13 19 52.38,-02 25 43.3, 0.00047
 13 23 07.11,-02 17 49.7, 0.00053
 15 50 18.76,-00 57 37.3, 0.06102
 15 49 00.46,-00 52 54.9,-0.00057
 16 00 11.34,-00 20 07.0, 0.00022
 15 56 39.20,+00 20 04.7, 0.00023
 15 58 51.86,+00 59 37.9,-0.00044
 16 02 08.68,+00 14 54.7, 0.00016
 16 10 47.61,-00 57 50.8,-0.00029
 16 10 13.76,-00 38 40.6, 0.00009
 16 10 15.01,+01 11 24.9, 0.00155
 16 12 11.68,+01 04 35.3,-0.00031
 16 18 37.14,-00 56 42.2, 0.00046
 16 15 31.17,+01 02 14.3, 0.00059
 16 17 17.84,+00 28 27.3, 0.00067
 16 18 36.02,+00 10 28.4, 0.09934
 16 18 19.38,+01 06 58.9, 0.00907
 17 00 17.86,+63 19 23.1, 0.00003
 16 54 53.24,+62 16 27.6, 0.00014
 16 50 02.50,+62 40 12.9,-0.00033
 16 54 22.86,+63 57 37.7,-0.00027
 17 01 13.93,+63 52 43.1,-0.00031
 17 22 00.13,+64 43 57.4, 0.00123
 17 16 53.34,+65 31 36.3, 0.00006
 17 14 59.51,+64 51 24.6,-0.00065
 17 13 07.41,+58 30 46.5, 0.00030
 17 07 00.47,+59 10 41.3,-0.00014
 17 02 20.06,+59 15 38.6, 0.17022
 17 00 11.19,+60 03 41.6,-0.00001
 17 08 04.24,+59 58 35.3,-0.00055
 17 25 22.06,+59 52 51.0,-0.00014
 17 28 58.16,+60 35 12.8, 0.00082
 17 14 19.24,+61 19 44.7, 0.02050
 17 29 24.54,+62 18 48.6, 0.00055
 17 16 09.32,+56 46 34.3, 0.00028
 17 11 52.08,+57 16 43.9, 0.00071
 17 15 22.17,+57 36 26.7, 0.00115
 17 18 57.52,+58 08 08.8, 0.00008
 17 38 15.64,+56 03 00.4,-0.00054
 17 29 28.39,+56 11 57.5,-0.00006
 17 28 03.81,+55 50 23.8, 0.00040
 17 28 40.01,+56 39 57.7, 0.00079
 17 34 35.98,+56 58 06.2,-0.00041
 17 35 59.97,+57 31 06.0, 0.00051
 17 39 11.52,+56 55 51.0,-0.00062
 17 27 39.19,+53 06 34.3,-0.00043
 17 25 10.34,+53 24 30.0,-0.00025
 16 28 52.24,-00 09 00.9, 0.00011
 16 23 35.01,-00 19 18.1, 0.00126
 16 21 03.99,+00 29 05.9, 0.00026
 16 21 20.02,+00 13 45.0, 0.00030
 16 27 09.93,+00 41 22.6, 0.00057
 17 33 14.15,+57 58 01.0, 0.00062
 17 21 22.83,+57 50 29.5, 0.00045
 21 54 45.24,-01 08 58.9, 0.00038
 21 54 15.56,-00 48 20.1, 0.00009
 21 50 57.89,-01 06 27.1, 0.00020
 21 51 51.61,+00 53 23.1, 0.00090
 22 03 30.04,-00 22 11.5, 0.00046
 21 59 54.46,-00 21 50.2, 0.00474
 21 58 00.38,+00 27 24.2, 0.00044
 22 03 48.69,-00 44 50.2, 0.00011
 22 03 35.37,-00 26 45.4, 0.00067
 22 03 05.83,+00 34 53.8,-0.00065
 22 17 09.81,+01 00 29.6,-0.00073
 22 24 23.36,-00 07 08.3,-0.00066
 22 19 06.87,-00 08 38.8, 0.00070
 22 24 17.28,+01 11 23.5, 0.00087
 22 26 45.57,+00 45 20.0, 0.00031
 22 27 04.86,-01 10 52.2,-0.00055
 22 25 56.10,+00 29 07.9,-0.00041
 22 28 56.71,+00 04 04.9,-0.00039
 23 09 56.01,-00 02 39.7,-0.00008
 23 08 42.20,-00 39 55.8, 0.00047
 23 25 19.33,+01 11 47.9,-0.00009
 23 51 59.75,+00 44 04.0, 0.00050
 00 00 58.23,-00 46 46.6, 0.00087
 00 02 26.10,+00 05 49.1, 0.00013
 23 59 58.21,+00 51 39.8, 0.00018
 00 13 42.45,-00 24 12.7, 0.00073
 00 18 00.21,+00 46 02.9,-0.00061
 00 26 51.70,-00 31 28.3,-0.00048
 00 25 37.30,+00 27 24.4, 0.00520
 00 30 49.21,+00 00 04.7, 0.00088
 00 31 31.44,+00 34 20.2,-0.00095
 00 42 41.96,+00 22 14.0, 0.00020
 00 44 39.33,+00 18 22.9, 0.00058
 00 55 23.83,-00 19 42.0, 0.00026
 00 56 46.83,+01 04 52.5,-0.00020
 00 58 24.75,+00 41 13.4, 0.00005
 01 06 48.03,+00 46 27.7, 0.00026
 01 10 24.51,-00 15 43.9, 0.00115
 01 08 55.02,-00 57 47.2, 0.00019
 01 14 18.27,+00 22 02.5, 0.00085
 01 28 41.87,-00 33 17.1, 0.00227
 01 28 15.05,-00 52 32.6,-0.00044
 01 26 02.21,-00 19 24.2, 0.00002
 01 37 22.54,-00 36 00.1,-0.00094
 01 32 56.61,+00 05 54.6,-0.00162
 01 32 30.87,-00 46 53.0, 0.00063
 01 34 39.28,+00 17 31.6, 0.00025
 01 45 01.52,+01 00 01.5,-0.00083
 01 51 53.30,-00 28 50.3, 0.00868
 01 56 50.28,+00 53 08.5, 0.00088
 02 15 05.62,+00 27 27.4, 0.00022
 02 32 26.54,-00 11 45.1,-0.00114
 02 31 06.77,-00 38 19.1,-0.00043
 02 31 04.86,+00 50 28.6, 0.00689
 02 32 19.52,+00 21 06.9,-0.00014
 02 32 32.25,+00 05 52.9, 0.00046
 02 33 33.24,+01 03 33.0, 0.00114
 02 48 56.54,-00 56 04.2,-0.00045
 02 46 35.63,-00 08 50.6,-0.00025
 00 31 15.52,+14 49 19.9, 0.00003
 00 32 59.74,+15 20 53.0,-0.00040
