 09 11 35.67,+09 48 33.9, 0.00043
 09 14 05.83,+09 19 44.5, 0.00213
 15 40 21.17,+03 07 50.4,-0.00017
 15 00 02.48,+11 56 10.8,-0.00039
 08 51 04.37,+09 13 59.4, 0.00019
 15 41 24.86,+03 05 40.4, 0.00138
 12 21 10.95,+07 05 13.7, 0.00064
 00 40 32.18,-09 57 44.0, 0.00032
 13 13 34.14,+27 08 11.1,-0.00056
 23 56 22.43,+00 36 04.2,-0.00146
 07 46 18.69,+24 06 23.1,-0.00050
 12 15 58.80,+58 15 55.4, 0.00006
 09 39 15.91,+15 31 24.0,-0.00054
 15 44 24.41,+03 17 26.6, 0.00591
 12 24 06.69,+07 03 56.5,-0.00042
 08 59 33.78,+13 16 33.4, 0.00012
 08 58 33.17,+09 15 32.4, 0.00069
 12 14 20.28,+49 47 43.6,-0.00008
 15 48 54.79,+13 11 19.9, 0.00020
 14 59 01.28,+01 21 23.8, 0.00030
 14 45 40.13,+12 35 21.1,-0.00077
 13 25 53.44,+13 44 05.3, 0.00050
 08 18 34.19,+18 55 07.6, 0.00011
 12 18 47.10,+68 28 08.7,-0.00072
 09 12 02.71,+29 31 39.4, 0.00005
 22 30 36.63,-08 43 00.8, 0.00062
 11 57 44.87,+66 45 44.0,-0.00031
 08 52 27.10,+01 38 07.3,-0.00065
 13 28 50.16,+34 47 24.4, 0.00030
 09 49 35.55,+09 32 54.9,-0.00037
 14 33 46.24,+11 16 18.2,-0.00011
 15 30 01.68,+55 04 52.4,-0.00001
 09 12 48.15,+09 52 25.4,-0.00026
 08 15 07.79,+24 43 11.9,-0.00007
 13 27 09.19,+35 19 57.6,-0.00017
 09 41 38.75,+28 44 58.9,-0.00036
 09 20 24.66,+02 19 56.3,-0.00048
 08 50 42.49,+03 06 59.1,-0.00037
 15 15 15.48,+01 45 29.5, 0.00012
 12 24 58.09,+07 06 33.1, 0.00012
 15 36 58.76,+56 00 40.3,-0.00059
 12 18 45.35,+59 59 28.4,-0.00015
 15 47 48.19,+13 57 17.2, 0.00026
 14 58 23.45,+12 32 32.3, 0.00021
 08 58 48.05,+09 03 27.9, 0.00002
 12 12 55.01,+51 51 23.7,-0.00031
 12 45 04.06,+36 22 03.7, 0.00085
 12 28 57.76,+47 10 25.0, 0.00020
 09 56 50.69,+46 59 20.6, 0.00042
 12 05 36.62,+19 13 57.6,-0.00037
 15 00 46.93,+01 04 27.4, 0.00030
 08 56 55.75,+12 58 02.0,-0.00000
 10 20 18.94,+18 28 30.8,-0.00016
 00 34 14.20,-08 27 38.7,-0.00008
 08 59 39.69,+02 01 04.3,-0.00051
 15 27 47.62,+29 30 42.2,-0.00001
 09 34 17.27,+28 41 03.0,-0.00029
 15 26 34.43,+27 59 38.2, 0.00041
 00 49 24.27,-08 47 33.2, 0.00042
 08 20 03.40,+16 59 32.8, 0.00125
 12 19 29.82,+61 33 46.4,-0.00020
 09 06 35.25,+09 09 27.4,-0.00002
