col1,Name,RA_1_1,Dec_1_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA_1_2,Dec_1_2,r_z,Speak,e_Speak,Sint,e_Sint,Separation_1a,RA,DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,P_sidelobe,Separation
2189,SDSSJ132825.88+600605.5,202.107854,60.101542,132825.88+600605.5,202.107849121094,60.1015434265137,1.94120001792908,2.0,1.0,1,-27.4284301641946,0.0,1.0,86.0838902660793,-26.788262838809,528.67006995866,46.1819258145644,46.4361188861655,0.0101500695348888,,,,,,,,,202.10775098498416,60.10153288624704,25.498550748299998,0.22661356296000001,24.10139398625,0.12570168254,0.0,0.18774660208473984
4537,SDSSJ132211.11+071521.0,200.546319,7.255851,132211.11+071521.0,200.546325683594,7.25585079193115,1.97379994392395,1048586.0,1.0,1,-27.5971539869587,0.0,2.0,38.7512358182773,-26.6734890003983,182.71514949162,46.3132204351908,46.6079912465508,0.02388000949995,,,,,,,,,200.54634127118956,7.255892241457549,4.67553470928,0.3342656846600001,4.293170384870002,0.17804199603,-1.0,0.16843043478048147
2070,SDSSJ083629.57+345544.8,129.123212,34.929137,083629.57+345544.8,129.12321472168,34.9291381835938,1.75680005550385,3145739.0,1.0,1,-27.142123208523,0.0,1.0,9.31153065493692,-26.8474201145439,65.5301545031207,46.1051858453889,46.3111215077819,0.0090931421405669,,,,,,,,,129.12330678569313,34.92916606063754,8.165101891499999,0.23413645005999997,7.52595711046,0.1262717874,-1.0,0.2986813446964737
4074,SDSSJ140810.27+104717.1,212.042796,10.788097,140810.27+104717.1,212.04280090332,10.7880973815918,1.9699000120163,2097162.0,1.0,1,-28.3220005204019,0.0,1.0,94.8596310780289,-26.4657382954136,277.216915332546,46.5658333892664,46.6481477011964,0.0173943059199959,,,,,,,,,212.04275646645087,10.78810201872102,66.71874502477999,0.26645877746999996,62.88908375159001,0.14663292716999998,-1.0,0.14096803344098463
1225,SDSSJ003009.39-090223.1,7.53916,-9.039762,003009.39-090223.1,7.53915977478027,-9.03976154327393,1.78559994697571,1048580.0,0.0,1,-27.8193981211866,0.0,0.0,0.0,-26.546253382027,-1.0,46.414752459549,46.4368222110008,0.0018288227720117,,,,,,,,,7.5391567570301605,-9.03978042739048,1.5389257596700001,0.38710791995,0.7895553328699999,0.13567936679,0.0,0.06733308452685242
1611,SDSSJ154502.82+513500.8,236.261774,51.583562,154502.82+513500.8,236.261779785156,51.5835609436035,1.92910003662109,3153418.0,1.0,1,-28.1609620172744,0.0,2.0,551.325370562836,-26.4371372312329,1508.49963447518,46.5439143648406,46.8025047229705,0.0134882886210607,,,,,,,,,236.26191342638703,51.58360258274293,375.93008655628995,2.1849835942099998,319.82983694641,0.26552306371999995,-1.0,0.3444111370780013
3446,SDSSJ114636.88+472313.4,176.653671,47.387059,114636.88+472313.4,176.653671264648,47.3870582580566,1.89320003986359,10.0,1.0,1,-27.0489502807901,0.0,2.0,25.1361602076731,-26.9695804927306,234.357808620046,46.0366933616367,46.0357522221094,0.002747780651555,176.653671,47.387059,DR7Q,,,,,0.0,176.65369717082913,47.387039198014286,15.439510211870001,0.2245431111900001,14.66385472449,0.12519474953,-1.0,0.09565932772393734
5470,SDSSJ133403.83+370104.0,203.515976,37.017781,133403.83+370104.0,203.515975952148,37.0177803039551,1.77859997749329,2097163.0,1.0,1,-28.2806169627425,0.0,1.0,12.1545837877535,-26.3900611255188,29.8401647996664,46.4938555118431,46.6381582555871,0.0025095339164227,,,,,,,,,203.51604142852744,37.01777433299058,4.55026784183,0.20369996028000004,4.36915475769,0.11369785248,-1.0,0.1895940979331937
7549,SDSSJ100623.58+004141.1,151.598265,0.694752,100623.58+004141.1,151.598266601563,0.694751977920532,1.91939997673035,3145748.0,0.0,1,-26.7828949767083,0.0,1.0,2.34195731093272,-26.9812401901187,22.4294779092295,46.0550489401234,46.2028178310235,0.0057657490877008,,,,,,,,,151.5982745148697,0.69475413518777,1.96247675241,0.37969545129,1.17857228607,0.15331958528,0.0,0.03510294663443427
1144,SDSSJ163849.88+472314.2,249.707837,47.387294,163849.88+472314.2,249.70783996582,47.3872947692871,1.90559995174408,20.0,0.0,1,-26.9823291942122,0.0,1.0,0.856121511785294,-26.9232291064396,7.17405193206614,46.0933842192772,46.200490837188,0.0077410653566496,,,,,,,,,249.7078047892337,47.387127765432815,1.24628040983,0.30399067399999996,0.948947048,0.14525902058999998,0.0,0.603572177540946
2006,SDSSJ142509.13-022717.0,216.28807,-2.454726,142509.13-022717.0,216.288070678711,-2.45472598075867,1.69149994850159,10.0,1.0,1,-26.4891605447024,0.0,1.0,44.1778026688921,-27.0236830662038,466.538165357235,45.858380439187904,46.1508755126087,0.0024420998461278,,,,,,,,,216.28806789524623,-2.45465916813706,60.96626937406001,0.28862130398,58.834890993440006,0.16074635803999998,-1.0,0.24071377229018645
6477,SDSSJ091302.71+170708.4,138.261316,17.119006,091302.71+170708.4,138.261322021484,17.1190052032471,1.94079995155334,11.0,1.0,1,-27.1870952797846,1.0,1.0,7.27317596665742,-26.9539044179929,65.4076450486339,46.1049042111124,45.9704936190139,0.0209145580611958,,,,,,,,,138.26135604365115,17.119043523386267,5.5759796929,0.2430725778700001,5.635498457130001,0.1370463865,-1.0,0.19294661598173657
