,col1,Name,RA_1_1,Dec_1_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA_1_2,Dec_1_2,r_z,Speak,e_Speak,Sint,e_Sint,Separation_1a,RA,DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,P_sidelobe,Separation
361,2457,SDSSJ144549.72+493120.2,221.457186,49.522302,144549.72+493120.2,221.457183837891,49.5223007202148,1.72800004482269,1048578.0,1.0,1,-26.6030347986562,0.0,0.0,0.0,-27.0308434242247,-1.0,45.8974649773738,45.976437334749,0.0068378852065099,221.457186,49.522302,DR7Q,,,,,0.0,,,,,,,,
492,2454,SDSSJ144913.21+483715.7,222.305062,48.621051,144913.21+483715.7,222.305068969727,48.6210517883301,1.72259998321533,3.0,1.0,1,-27.9027503273317,0.0,0.0,0.0,-26.5659176493802,-1.0,46.3731184245761,46.3676023080746,0.0168271179422611,222.305062,48.621051,DR7Q,0.6,0.1,0.9,0.1,0.0,,,,,,,,
601,363,SDSSJ082233.63+501712.3,125.640133,50.286753,082233.63+501712.3,125.64013671875,50.2867546081543,1.73489999771118,1048580.0,0.0,1,-26.5624275844024,0.0,0.0,0.0,-27.0396975442534,-1.0,45.8910683295929,46.1158789914973,0.0103288716185553,,,,,,,,,,,,,,,,
610,373,SDSSJ082846.01+490938.4,127.191729,49.160675,082846.01+490938.4,127.19172668457,49.1606750488281,1.74730002880096,1048580.0,0.0,1,-26.190946755551,0.0,0.0,0.0,-27.1219386168207,-1.0,45.8083659083382,46.0068938830818,0.0054537811825268,,,,,,,,,,,,,,,,
633,394,SDSSJ084720.71+525003.3,131.836316,52.834275,084720.71+525003.3,131.836318969727,52.8342742919922,1.69949996471405,1048580.0,0.0,1,-26.4306600124677,0.0,0.0,0.0,-27.071540530096,-1.0,45.8227959317281,46.1119808207614,0.0069434223639043,,,,,,,,,,,,,,,,
714,3915,SDSSJ131857.76+522437.1,199.740688,52.410306,131857.76+522437.1,199.740692138672,52.4103050231934,1.66240000724792,1048579.0,1.0,1,-26.1551580989276,0.0,0.0,0.0,-27.0865299299137,-1.0,45.7820023616925,46.0464106301478,0.009745141096699,199.740688,52.410306,DR7Q,,,,,0.0,,,,,,,,
806,3919,SDSSJ132935.86+513114.8,202.399457,51.520782,132935.86+513114.8,202.399459838867,51.520782470703104,1.71360003948212,1048578.0,1.0,1,-26.5728763724457,0.0,0.0,0.0,-26.9681827194756,-1.0,45.9780239817983,46.0007664523066,0.0065810498398138,202.399457,51.520782,DR7Q,,,,,0.0,,,,,,,,
1034,3925,SDSSJ140952.13+490901.9,212.467213,49.150541,140952.13+490901.9,212.467208862305,49.1505393981934,1.72940003871918,1048578.0,1.0,1,-26.8180965438029,0.0,0.0,0.0,-26.9285998016362,-1.0,45.9777466265327,46.1566413743509,0.0113215044217756,212.467213,49.150541,DR7Q,0.5,0.1,0.9,0.1,0.0,,,,,,,,
1058,830,SDSSJ083649.56+484154.1,129.206525,48.698365,083649.56+484154.1,129.206527709961,48.6983642578125,1.71080005168915,134224900.0,0.0,1,-27.2189881805137,0.0,0.0,0.0,-26.7954146478982,-1.0,46.0840573828429,46.213589977870704,0.0069714295575403,,,,,,,,,,,,,,,,
1067,839,SDSSJ090107.10+510801.4,135.279593,51.133726,090107.10+510801.4,135.279586791992,51.1337242126465,1.71050000190735,1048581.0,0.0,1,-26.5903615743574,0.0,0.0,0.0,-26.990753217704,-1.0,45.9143780983779,46.2250209541229,0.0154296781793796,,,,,,,,,,,,,,,,
